source,target
Keyboard Accessibility Preferences,Preferencias de accesibilidad del teclado
Help,Ayuda
About,Acerca de
AccessX Status Applet Factory,Fábrica de la miniaplicación Estado de AccessX
Keyboard Accessibility Status Applet Factory,Fábrica de la miniaplicación de estado de accesibilidad del teclado
Keyboard Accessibility Status,Estado de accesibilidad del teclado
Shows the status of keyboard accessibility features,Muestra el estado de las características de accesibilidad del teclado
Shows the state of AccessX features such as latched modifiers,Muestra el estado de las características AccessX como los modificadores bloqueadosdocumenters
There was an error launching the help viewer: %s,Ocurrió un error al lanzar el visor de ayuda: %s
There was an error launching the keyboard preferences dialog: %s,Ocurrió un error al lanzar el diálogo de preferencias del teclado: %s
AccessX Status,Estado de AccessX
Shows keyboard status when accessibility features are used.,Muestra el estado del teclado cuando se usan las características de accesibilidad.
XKB Extension is not enabled,La extensión XKB no está activada
Unknown error,Error desconocido
Error: %s,Error: %s
Displays current state of keyboard accessibility features,Muestra el estado actual de las características de accesibilidad del teclado
Battstat Factory,Fábrica para «Estado de la batería»
Battery Charge Monitor,Monitor de carga de la batería
Monitor a laptop's remaining power,Monitoriza la carga restante de un portátil
Preferences,Preferencias
System is running on AC power,El sistema está funcionando con CA
System is running on battery power,El sistema está funcionando con baterías
Battery charged (%d%%),Batería cargada al (%d%%)
Unknown time (%d%%) remaining,"Tiempo desconocido, (%d%%) restante"
Unknown time (%d%%) until charged,"Tiempo desconocido, (%d%%) hasta su carga"
%d %s %d %s (%d%%) remaining,Quedan %d %s %d %s (%d%%)
%d %s %d %s until charged (%d%%),%d %s %d %s para completar la carga (%d%%)
Battery Monitor,Monitor de la batería
Your battery is now fully recharged,La batería está recargada completamente
Battery Notice,Notificación de batería
You have %d%% of your total battery capacity remaining.,Le queda un %d%% de la capacidad total de su batería.
"To avoid losing your work: • plug your laptop into external power, or • save open documents and shut your laptop down.","Para evitar perder su trabajo: • enchufe su portátil a una fuente de alimentación externa, o • guarde los documentos abiertos y apague el portátil."
"To avoid losing your work: • suspend your laptop to save power, • plug your laptop into external power, or • save open documents and shut your laptop down.","Para evitar perder su trabajo: • suspenda su portátil para ahorrar energía, • conecte su portátil a una fuente de alimentación externa, o • guarde los documentos abiertos y apague el portátil."
Your battery is running low,La batería se está agotando
No battery present,No hay ninguna batería presente
Battery status unknown,Estado de la batería desconocido
There was an error displaying help: %s,Hubo un error al mostrar la ayuda: %s
This utility shows the status of your laptop battery.,Esta utilidad muestra el estado de la batería de su portátil.
HAL backend enabled.,Backend de HAL activado.
Legacy (non-HAL) backend enabled.,Backend legado (No-HAL) activado.
Battery Charge Monitor Preferences,Preferencias del monitor de carga la batería
Appearance,Apariencia:
Compact view,Vista compacta
(shows single image for status and charge),(muestra una imagen única para el estado y la carga)
Expanded view,Vista expandida
"(two images: one for status, one for charge)","(dos imágenes: una para el estado, otra para la carga)"
Show time/percentage:,Mostrar tiempo/porcentaje:
Show time remaining,Mostrar el tiempo restante
Show percentage remaining,Mostrar el porcentaje restante
Notifications,Notificaciones
Warn when battery charge drops to:,Avisar cuando la carga de la batería baje hasta:
Notify when battery is fully recharged,Notificarme cuando la batería esté recargada completamente
HAL error,Error de HAL
Could not create libhalctx,No se pudo crear libhalctx
No batteries found,No hay ninguna batería
Unable to initialise HAL: %s: %s,No se pudo inicializar HAL: %s: %s
Red value level,Nivel de valor rojo
The battery level below which the battery is displayed as red. Also the value at which the low battery warning is displayed.,El nivel de batería por debajo del cual se muestra en rojo. También el valor en el cual se muestra la advertencia de batería baja.
Warn on low time rather than low percentage,Avisar cuando quede poco tiempo en vez de bajo porcentaje
Use the value defined in redvalue as a time remaining to show the warning dialog rather than a percentage.,Usar el valor definido en redvalue como el tiempo que queda para mostrar el diálogo de advertencia en vez de un porcentaje.
Low Battery Notification,Notificación de batería baja
Notify user when the battery is low.,Notificar al usuario cuando la batería esté baja.
Full Battery Notification,Notificación de batería cargada
Notify user when the battery is full.,Notificar al usuario cuando la batería esté llena.
